Date,Average Daily Wind Speed (mph),Precipitation (in),Average Relative Humidity (%),Average Temperature (F),Maximum Temperature (F),Minimum Temperature (F)
1/1/2013,12.3,0.4,84,,56,43
1/2/2013,9.17,0,72,,44,37
1/3/2013,7.16,0,65,,50,31
1/4/2013,7.16,0.19,79,,46,40
1/5/2013,2.91,0.11,88,,48,34
1/6/2013,4.7,0,81,,59,33
1/7/2013,4.7,0,65,,57,33
1/8/2013,6.04,1.1,90,,61,49
1/9/2013,10.96,3,95,,66,60
1/10/2013,6.04,0,76,,64,51
1/11/2013,8.95,0,81,,75,46
1/12/2013,12.75,0.03,89,,74,46
1/13/2013,15.21,0.04,67,,52,39
1/14/2013,12.75,0,68,,50,35
1/15/2013,11.63,0,87,,40,35
1/16/2013,6.93,0,58,,49,33
1/17/2013,5.37,0,56,,65,30
1/18/2013,6.71,0,55,,64,39
1/19/2013,4.7,0,65,,68,38
1/20/2013,4.03,0,75,,71,41
1/21/2013,4.25,0,72,,72,44
1/22/2013,4.92,0,68,,72,42
1/23/2013,6.71,0,78,,75,50
1/24/2013,8.95,0,81,,79,58
1/25/2013,9.17,0,73,,79,61
1/26/2013,4.92,0.02,79,,76,54
1/27/2013,13.87,0,79,,79,59
1/28/2013,16.33,0,75,,82,69
1/29/2013,15.88,0.17,80,,80,57
1/30/2013,9.84,0,47,,58,37
1/31/2013,6.04,0,44,,66,33
2/1/2013,5.37,0,53,,71,43
2/2/2013,6.93,0,66,,76,48
2/3/2013,4.92,0,41,,71,43
2/4/2013,6.71,0,76,,73,54
2/5/2013,3.8,0,81,,75,61
2/6/2013,7.38,0.19,88,,71,60
2/7/2013,5.82,0,82,,71,58
2/8/2013,9.17,0,64,,69,50
2/9/2013,11.41,0,83,,68,50
2/10/2013,8.5,0.29,61,,71,58
2/11/2013,9.62,0.19,72,,61,51
2/12/2013,8.28,0.02,84,,64,51
2/13/2013,8.28,0,63,,60,42
2/14/2013,4.25,0,58,,67,37
2/15/2013,9.4,0,58,,64,41
2/16/2013,5.59,0,49,,61,33
2/17/2013,12.08,0,53,,71,41
2/18/2013,12.75,0.26,65,,79,56
2/19/2013,9.4,0,39,,67,42
2/20/2013,12.3,0.02,63,,61,51
2/21/2013,11.18,0.13,60,,76,53
2/22/2013,10.29,0,56,,61,47
2/23/2013,6.71,0,54,,66,39
2/24/2013,8.95,0,58,,74,42
2/25/2013,16.55,0,53,,69,47
2/26/2013,9.84,0,49,,63,41
2/27/2013,11.18,0,44,,64,44
2/28/2013,8.95,0,44,,61,40
3/1/2013,4.7,0,47,,64,34
3/2/2013,8.72,0,49,,57,35
3/3/2013,10.29,0,47,,72,36
3/4/2013,14.76,0,65,,84,53
3/5/2013,15.21,0,42,,66,41
3/6/2013,4.7,0,36,,66,34
3/7/2013,9.4,0,54,,73,42
3/8/2013,11.41,0,76,,70,54
3/9/2013,16.33,0,75,,76,60
3/10/2013,11.41,1.3,63,,69,48
3/11/2013,8.28,0,46,,60,41
3/12/2013,3.36,0,41,,72,39
3/13/2013,6.04,0,42,,73,47
3/14/2013,7.61,0,57,,76,46
3/15/2013,11.18,0,62,,80,49
3/16/2013,14.54,0,68,,82,57
3/17/2013,10.96,0,72,,83,65
3/18/2013,10.51,0,62,,88,62
3/19/2013,9.4,0,54,,82,52
3/20/2013,8.5,0.4,58,,72,53
3/21/2013,12.97,0,67,,73,51
3/22/2013,9.4,0,73,,83,57
3/23/2013,6.71,0,84,,67,54
3/24/2013,17,0.01,52,,59,42
3/25/2013,9.4,0,42,,60,35
3/26/2013,5.14,0,36,,62,34
3/27/2013,8.5,0,48,,71,38
3/28/2013,11.41,0,68,,74,52
3/29/2013,9.62,0,73,,77,57
3/30/2013,9.84,0,69,,82,63
3/31/2013,7.38,0.02,74,,82,67
4/1/2013,5.14,0,73,72,82,65
4/2/2013,8.5,0.76,87,67,72,60
4/3/2013,11.41,0.12,89,58,63,50
4/4/2013,11.41,0.01,77,50,53,47
4/5/2013,4.47,0,66,54,69,41
4/6/2013,11.86,0,71,62,76,50
4/7/2013,12.3,0,71,68,80,62
4/8/2013,15.21,0,73,73,83,67
4/9/2013,17.67,0,73,75,87,68
4/10/2013,13.87,0.17,85,64,75,46
4/11/2013,8.5,0,57,52,68,43
4/12/2013,4.03,0,52,60,79,44
4/13/2013,7.61,0,59,66,78,51
4/14/2013,7.61,0,78,67,83,54
4/15/2013,13.87,0,76,75,85,70
4/16/2013,14.09,0,73,77,88,70
4/17/2013,16.78,0,81,77,84,73
4/18/2013,14.09,0.34,79,65,74,51
4/19/2013,10.51,0,47,54,66,43
4/20/2013,8.5,0,47,56,71,41
4/21/2013,6.93,0,61,61,75,50
4/22/2013,7.61,0,68,67,82,52
4/23/2013,11.41,0,76,70,80,50
4/24/2013,14.09,0.01,59,54,68,45
4/25/2013,8.5,0,47,63,75,54
4/26/2013,12.75,0.01,70,73,86,66
4/27/2013,7.38,0.07,79,75,83,66
4/28/2013,5.82,0.03,69,72,84,62
4/29/2013,5.82,0.13,82,72,83,64
4/30/2013,4.47,0,74,71,85,64
5/1/2013,5.59,0,70,74,86,66
5/2/2013,15.66,0,73,66,72,47
5/3/2013,13.87,0,43,54,69,43
5/4/2013,6.93,0,37,61,82,42
5/5/2013,9.62,0,49,62,73,46
5/6/2013,3.36,0,59,63,78,48
5/7/2013,3.8,0,53,69,86,54
5/8/2013,11.41,0,62,74,87,62
5/9/2013,9.62,3.28,86,72,80,66
5/10/2013,6.26,1.15,81,72,84,67
5/11/2013,9.62,0,62,73,83,64
5/12/2013,6.93,0,54,70,81,59
5/13/2013,5.14,0,58,69,84,53
5/14/2013,10.51,0,71,72,85,61
5/15/2013,12.3,0.51,86,73,79,68
5/16/2013,14.09,0.61,79,74,86,64
5/17/2013,12.75,0,73,80,91,73
5/18/2013,13.42,0,68,81,93,73
5/19/2013,16.11,0,69,81,91,73
5/20/2013,14.32,0,70,81,91,74
5/21/2013,12.3,1.13,76,81,89,66
5/22/2013,4.92,0,80,73,88,63
5/23/2013,7.61,0,75,80,90,74
5/24/2013,8.05,0,75,81,88,73
5/25/2013,7.83,0,80,78,83,72
5/26/2013,10.74,0,70,80,89,74
5/27/2013,13.87,0,68,81,91,72
5/28/2013,14.76,0,71,80,91,73
5/29/2013,16.11,0.05,77,79,87,74
5/30/2013,14.76,0,73,81,92,76
5/31/2013,13.42,0,68,84,94,77
6/1/2013,11.18,0,66,85,95,78
6/2/2013,6.71,1.04,74,78,85,67
6/3/2013,3.8,0,62,77,89,66
6/4/2013,6.04,0,69,80,91,69
6/5/2013,4.7,0,73,80,91,71
6/6/2013,8.05,0,73,82,93,72
6/7/2013,5.82,0,61,77,85,67
6/8/2013,4.92,0,62,78,91,66
6/9/2013,6.04,0.11,75,80,91,72
6/10/2013,5.14,0,70,81,94,70
6/11/2013,7.61,0,76,82,94,74
6/12/2013,7.38,0,72,83,95,75
6/13/2013,4.47,0,70,84,96,74
6/14/2013,2.91,0,65,85,95,74
6/15/2013,6.26,0,66,85,94,77
6/16/2013,6.71,0,64,85,97,75
6/17/2013,8.05,0,65,86,97,76
6/18/2013,6.26,0.1,70,83,90,77
6/19/2013,7.61,0,65,84,95,75
6/20/2013,10.07,0,62,86,97,76
6/21/2013,8.72,0,62,85,97,75
6/22/2013,10.29,0,64,86,97,75
6/23/2013,10.51,0,62,86,97,74
6/24/2013,12.08,0,61,86,99,74
6/25/2013,13.42,0,60,87,99,76
6/26/2013,10.96,0,60,87,100,76
6/27/2013,5.82,0,58,87,100,76
6/28/2013,5.59,0,54,88,102,75
6/29/2013,6.26,0,45,90,106,77
6/30/2013,8.28,0,42,88,99,73
7/1/2013,6.71,0,45,82,89,68
7/2/2013,5.82,0,40,81,94,69
7/3/2013,5.14,0,47,82,96,69
7/4/2013,4.25,0,55,82,93,70
7/5/2013,4.92,0,50,83,97,70
7/6/2013,7.16,0,56,86,98,73
7/7/2013,8.28,0,65,86,97,76
7/8/2013,8.5,0.08,71,82,93,74
7/9/2013,8.05,0,65,85,99,74
7/10/2013,6.04,0,61,87,100,76
7/11/2013,6.71,0,58,87,101,76
7/12/2013,5.37,0,56,88,101,75
7/13/2013,4.47,0,48,89,103,76
7/14/2013,7.38,0,68,84,88,75
7/15/2013,8.05,0.7,90,75,83,71
7/16/2013,6.71,0.58,81,79,93,73
7/17/2013,7.38,0.01,81,78,87,74
7/18/2013,4.92,0,63,82,96,73
7/19/2013,4.92,0,72,82,94,74
7/20/2013,6.71,0,75,81,90,75
7/21/2013,7.38,0.05,80,80,95,74
7/22/2013,11.18,0,68,85,97,78
7/23/2013,11.18,0,63,87,98,79
7/24/2013,6.26,0,65,85,95,76
7/25/2013,6.93,0,60,86,99,76
7/26/2013,9.62,0,64,87,98,77
7/27/2013,8.05,0,69,83,90,77
7/28/2013,9.62,0,64,84,99,74
7/29/2013,12.75,0,59,87,100,77
7/30/2013,11.41,0,60,87,101,76
7/31/2013,5.82,0,57,86,102,76
8/1/2013,6.26,0.01,57,89,103,76
8/2/2013,8.28,0,55,88,101,76
8/3/2013,8.5,0,60,88,101,76
8/4/2013,8.05,0,62,88,101,77
8/5/2013,10.07,0,59,88,102,77
8/6/2013,12.75,0,59,89,103,78
8/7/2013,11.63,0,56,89,104,79
8/8/2013,10.74,0,54,89,104,78
